Degree,Specialization,CGPA,JobRole,Technologies
M.Tech,AI & ML,9.0,AI Ethics Specialist,"Python,Policy,Ethics Frameworks"
M.Tech,Cyber Security,9.0,Security Architect,"Security Design,Cloud,Compliance"
M.Tech,Electronics,8.6,Systems Engineer,"Embedded Systems,Integration,Testing"
M.Tech,Telecommunications,8.4,Telecom Engineer,"5G,Network Design,Protocol"
MCA,Software Systems,8.6,DevOps Lead,"Jenkins,Kubernetes,AWS,Terraform"
MCA,Data Analytics,8.4,Data Product Manager,"SQL,Python,Product Management"
MCA,Web Development,8.2,Frontend Architect,"React,Vue,Architecture,Performance"
BCA,Web Design,7.4,E-commerce Developer,"Shopify,WooCommerce,PHP,JavaScript"
BCA,Web Design,7.1,SEO Specialist,"Google Analytics,SEO Tools,Content"
BCA,Mobile App,7.7,Mobile QA Engineer,"Appium,Mobile Testing,Automation"
BCA,Mobile App,7.5,Mobile UI Designer,"Figma,Mobile Design,Prototyping"
B.Des,Graphic Design,8.3,Brand Designer,"Adobe Suite,Branding,Strategy"
B.Des,UI/UX,8.4,Product Designer,"Figma,User Research,Design Systems"
B.Des,Animation,8.1,VFX Artist,"After Effects,Nuke,Compositing"
B.Des,Game Design,7.9,Level Designer,"Unity,Unreal,Game Design"
B.Arch,Architecture,8.6,Design Architect,"Revit,Design,BIM,Creative"
B.Arch,Interior Design,8.2,Space Planner,"AutoCAD,Space Planning,Design"
B.Arch,Landscape Design,7.8,Environmental Designer,"GIS,Sustainable Design,AutoCAD"
B.Pharm,Pharmaceuticals,8.4,Pharmacovigilance Specialist,"Safety Databases,Regulatory"
B.Pharm,Pharmaceuticals,8.0,Formulation Scientist,"Lab Software,Formulation,Analysis"
B.Pharm,Pharmacy,8.3,Clinical Pharmacist,"Clinical Systems,Patient Care"
B.E,Civil Engineering,7.7,Geotechnical Engineer,"Geo-Software,Analysis,AutoCAD"
B.E,Civil Engineering,7.5,Transportation Engineer,"Traffic Software,AutoCAD,Planning"
B.E,Mechanical,7.6,Thermal Engineer,"ANSYS,CFD,MATLAB,Thermal Analysis"
B.E,Mechanical,7.4,Automotive Engineer,"CATIA,Automotive Software,Design"
B.E,Electrical,7.7,Renewable Energy Engineer,"PV Software,Grid Analysis,MATLAB"
B.E,Electrical,7.5,Instrumentation Engineer,"PLC,SCADA,Instrumentation"
B.E,Electronics,7.6,Antenna Engineer,"HFSS,Antenna Design,Simulation"
B.E,Electronics,7.2,Signal Processing Engineer,"MATLAB,DSP,Python,Algorithms"
B.Tech,Computer Science,9.0,Distinguished Engineer,"Multiple Languages,Architecture,Innovation"
B.Tech,Computer Science,8.9,Principal Software Engineer,"Java,Python,Leadership,Architecture"
B.Tech,Information Technology,8.5,Enterprise Architect,"TOGAF,Cloud,Enterprise Systems"
B.Tech,Information Technology,8.2,IT Auditor,"Audit Tools,Compliance,Security"
B.Tech,AI & ML,9.3,AI Research Lead,"Python,Research,Publications,Team Lead"
B.Tech,AI & ML,9.1,MLOps Engineer,"Python,Kubernetes,ML Pipelines,AWS"
B.Tech,Cyber Security,8.9,Threat Intelligence Analyst,"Threat Platforms,Python,Analysis"
B.Tech,Cyber Security,8.7,Penetration Tester,"Kali,Burp Suite,Python,Reporting"
B.Tech,Biotechnology,8.2,Computational Biologist,"Python,R,Bioinformatics,Databases"
B.Tech,Chemical Engineering,7.9,Safety Engineer,"Safety Software,Risk Assessment"
B.Tech,Environmental Engineering,7.7,Water Resources Engineer,"Hydrology Software,GIS,Modeling"
B.Sc,Computer Science,7.7,Technical Consultant,"Multiple Technologies,Client Facing"
B.Sc,Computer Science,7.5,Implementation Specialist,"Software Implementation,Training"
B.Sc,Data Science,8.4,Senior Data Analyst,"Python,SQL,Tableau,Statistics"
B.Sc,Data Science,8.1,Data Operations Analyst,"SQL,Python,ETL,Data Quality"
B.Sc,IT,7.6,Infrastructure Engineer,"Cloud,Networking,Automation"
B.Sc,Mathematics,8.2,Data Scientist,"Python,R,Machine Learning,Statistics"
B.Sc,Statistics,8.0,Biostatistician,"R,SAS,Clinical Trials,Statistics"
B.Sc,Physics,7.9,Optical Engineer,"Optical Software,MATLAB,Design"
B.Sc,Chemistry,7.6,Analytical Chemist,"Spectroscopy,Lab Software,Analysis"
B.Sc,Biotechnology,7.8,Quality Assurance Specialist,"QA Software,Documentation,Compliance"
B.Com,Accounting,8.4,Controller,"SAP,Excel,Financial Controls"
B.Com,Accounting,8.0,Internal Auditor,"Audit Software,Excel,Compliance"
B.Com,Finance,8.5,Portfolio Analyst,"Bloomberg,Python,Portfolio Management"
B.Com,Finance,8.1,Corporate Development Analyst,"Excel,Financial Modeling,M&A"
B.Com,Banking,7.9,Treasury Analyst,"Bloomberg,Excel,Cash Management"
B.Com,Economics,8.2,Research Economist,"Stata,R,Research,Publications"
BBA,Marketing,8.3,Marketing Analyst,"Google Analytics,SQL,Excel"
BBA,Marketing,7.9,Event Marketing Manager,"Event Software,CRM,Planning"
BBA,HR,8.1,Diversity & Inclusion Manager,"HRMS,Analytics,Program Management"
BBA,HR,7.8,Benefits Administrator,"HRMS,Excel,Benefits Software"
BBA,Operations,8.0,Inventory Manager,"ERP,Excel,Supply Chain"
BBA,Entrepreneurship,7.6,Business Analyst,"Excel,Market Research,Analysis"
MBA,Finance,9.1,Investment Director,"Bloomberg,Leadership,Strategy"
MBA,Finance,8.7,Finance Director,"SAP,Excel,Financial Strategy"
MBA,Marketing,8.9,Brand Director,"Brand Strategy,Analytics,Leadership"
MBA,Marketing,8.4,Digital Strategy Director,"Analytics,SEO,Strategy,Leadership"
MBA,Operations,8.7,Supply Chain Director,"SAP,Supply Chain,Leadership"
MBA,HR,8.5,Chief Human Resources Officer,"HRMS,Strategy,Leadership"
MBA,IT,9.2,Chief Information Officer,"Enterprise Systems,Strategy,Leadership"
MBA,Data Science,9.0,Head of Data Science,"Python,SQL,Team Management,Strategy"
M.Tech,Computer Science,9.4,VP of Technology,"Cloud,Architecture,Leadership,Vision"
M.Tech,Computer Science,9.0,Director of Engineering,"Technical Leadership,Management"
M.Tech,Data Science,9.1,Head of Analytics,"Python,SQL,Analytics,Leadership"
M.Tech,AI & ML,9.5,Head of AI,"Python,AI Strategy,Research,Leadership"
M.Tech,Cyber Security,9.2,VP of Security,"Security Strategy,Leadership,Compliance"
M.Tech,Electronics,8.8,Director of Hardware,"Hardware Strategy,Leadership"
M.Tech,Telecommunications,8.6,Network Director,"Network Strategy,5G,Leadership"
MCA,Software Systems,8.8,Director of Software,"Software Strategy,Leadership"
MCA,Data Analytics,8.6,Head of Business Intelligence,"SQL,Tableau,BI Strategy"
MCA,Web Development,8.4,Director of Web Technologies,"Web Architecture,Leadership"
BCA,Web Design,7.6,Senior Web Developer,"React,Node.js,Mentoring"
BCA,Web Design,7.3,Web Project Manager,"Project Management,Web Technologies"
BCA,Mobile App,7.8,Mobile Development Lead,"Mobile Technologies,Team Lead"
BCA,Mobile App,7.6,Mobile Product Manager,"Mobile,Product Management"
B.Des,Graphic Design,8.5,Design Director,"Design Strategy,Leadership,Creative"
B.Des,UI/UX,8.6,Head of UX,"UX Strategy,Research,Leadership"
B.Des,Animation,8.3,Animation Studio Head,"Animation,Leadership,Production"
B.Des,Game Design,8.1,Game Design Director,"Game Design,Leadership,Vision"
B.Arch,Architecture,8.8,Principal Architect,"Architecture,Leadership,Clients"
B.Arch,Interior Design,8.4,Interior Design Director,"Design,Leadership,Projects"
B.Arch,Landscape Design,8.0,Landscape Design Director,"Design,Planning,Leadership"
B.Pharm,Pharmaceuticals,8.6,Director of Regulatory Affairs,"Regulatory,Leadership,Strategy"
B.Pharm,Pharmaceuticals,8.2,Medical Director,"Medical,Leadership,Strategy"
B.Pharm,Pharmacy,8.5,Director of Pharmacy,"Pharmacy Operations,Leadership"
B.E,Civil Engineering,7.9,Project Director,"Project Management,Civil,Leadership"
B.E,Civil Engineering,7.6,Construction Manager,"Construction,Management,Planning"
B.E,Mechanical,7.7,Engineering Manager,"Mechanical,Management,Leadership"
B.E,Mechanical,7.5,Manufacturing Manager,"Manufacturing,Lean,Management"
B.E,Electrical,7.8,Electrical Project Manager,"Electrical,Project Management"
B.E,Electrical,7.6,Power Plant Manager,"Power Systems,Operations,Management"
B.E,Electronics,7.7,Electronics Manager,"Electronics,Management,Strategy"
B.E,Electronics,7.4,Product Manager - Hardware,"Hardware,Product Management"
